"Message ID";"Date";"Auteur";"Detecteur";"Run";"Faisceau";"Energie";"Seuil0";"Seuil1";"Evenements";"Absorbeur";"HV";"Gaz";"PositionX";"OK";"Text"
25369;Tue  02 Oct 2018 16:30:25 +0200;"SPS_ZOZO10_2018";;"744029";;;;;"started";;;;;"Bad data";"DB=Dome_42chambres_Reference_v4_266 "
25368;Tue  02 Oct 2018 14:51:58 +0200;"SPS_ZOZO10_2018";"m3 + ecal";"744027";"Pi+";"20 GeV";"200";;"1080";;"6.7";"2 % SF6 5% CO2 93% TFE";;;"DB=Dome_42chambres_Reference_v4_266 
Not sure of the content of the beam, seems that we had some pions at the beginning (~800/spill) but mostly muons by the end of the run.
No Cerenkov info in this run."
25367;Tue  02 Oct 2018 14:50:27 +0200;"SPS_ZOZO10_2018";;"744026";;;;;"started";;;;;;"DB=Dome_42chambres_Reference_v4_266 "
25366;Tue  02 Oct 2018 13:55:09 +0200;"SPS_ZOZO10_2018";;"744022";;;;;"started";;;;;;"DB=Dome_42chambres_Reference_v4_266 
spilloff at 20Mclocks=400ms
spillon at 250k=5ms.

Not much better. "
25365;Tue  02 Oct 2018 13:43:33 +0200;"SPS_ZOZO10_2018";;"744021";;;;;"started";;;;;;"DB=Dome_42chambres_Reference_v4_266 "
25364;Tue  02 Oct 2018 13:33:16 +0200;"SPS_ZOZO10_2018";"m3 + ecal";"744020";;;;;"started";;;;;;"DB=Dome_42chambres_Reference_v4_266 
Try again with spilloff at 12M=240ms, spillon still at 500k = 10ms "
25363;Tue  02 Oct 2018 13:19:14 +0200;"SPS_ZOZO10_2018";;"744019";;;;;"started";;;;;;"DB=Dome_42chambres_Reference_v4_266 "
25362;Tue  02 Oct 2018 13:10:16 +0200;"SPS_ZOZO10_2018";"m3 + ecal";"744018";"Muons";;"200";;"started";;"6.7";"2 % SF6 5% CO2 93% TFE";;;"DB=Dome_42chambres_Reference_v4_266 
It's working!
Ecal gets desynchronized after ~40spills
spilloff at 3Mclocks=60ms
spillon at 500k=10ms"
25361;Tue  02 Oct 2018 13:03:45 +0200;"SPS_ZOZO10_2018";"m3 + ecal";"744017";;;;;"started";;;;;;"DB=Dome_42chambres_Reference_v4_266 
DIFs from slot 15 (difs 127-154-186) are not taking data....trying to restart again"
25360;Tue  02 Oct 2018 12:58:58 +0200;"Pingault Antoine";;;;;;;;;;;;;"<p>Current in some of the chambers are really high, and increasing.</p>

<p>&nbsp; Chan&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; VSET&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; ISET&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; VOUT&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; IOUT&nbsp;&nbsp;&nbsp;&nbsp; RAMPUP&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; STATUS<br />
#0000&nbsp;&nbsp;&nbsp; 6900.00&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; 30.00&nbsp;&nbsp; -6901.04&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; -2.00&nbsp;&nbsp;&nbsp;&nbsp; -25.00&nbsp; BITS: 80 00 80 outputOn(0) outputConstantVoltage(16)<br />
#0001&nbsp;&nbsp;&nbsp; 6900.00&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; 30.00&nbsp;&nbsp; -6901.02&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; -2.00&nbsp;&nbsp;&nbsp;&nbsp; -25.00&nbsp; BITS: 80 00 80 outputOn(0) outputConstantVoltage(16)<br />
#0002&nbsp;&nbsp;&nbsp; 6900.00&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; 30.00&nbsp;&nbsp; -6901.12&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; -1.00&nbsp;&nbsp;&nbsp;&nbsp; -25.00&nbsp; BITS: 80 00 80 outputOn(0) outputConstantVoltage(16)<br />
#0003&nbsp;&nbsp;&nbsp; 6900.00&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; 30.00&nbsp;&nbsp; -6901.05&nbsp;&nbsp;&nbsp;&nbsp; -10.00&nbsp;&nbsp;&nbsp;&nbsp; -25.00&nbsp; BITS: 80 00 80 outputOn(0) outputConstantVoltage(16)<br />
#0004&nbsp;&nbsp;&nbsp; 6900.00&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; 30.00&nbsp;&nbsp; -6901.05&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; -6.00&nbsp;&nbsp;&nbsp;&nbsp; -25.00&nbsp; BITS: 80 00"
