"Message ID";"Date";"Author";"Type";"Run";"DAQ Name";"Good";"Problem Type";"Beam";"Energy";"Particles";"Attenuator upstream";"Attenuator downstream";"Source";"Gaz";"Scintillator";"Dif_Scintillator";"Tcherenkov";"Dif_Tcherenkov";"Position Bati X";"Position Bati Y";"Position Bati Z";"Number Dif";"Dif_Id1";"Position1 Z";"Type1";"HV1";"Gas Channel1";"HV Channel1";"Dif_Id2";"Position2 Z";"Type2";"HV2";"Gas Channel2";"HV Channel2";"Dif_Id3";"Position3 Z";"Type3";"HV3";"Gas Channel3";"HV Channel3";"Dif_Id4";"Position4 Z";"Type4";"HV4";"Gas Channel4";"HV Channel4";"Dif_Id5";"Position5 Z";"Type5";"HV5";"Gas Channel5";"HV Channel5";"Dif_Id6";"Position6 Z";"Type6";"HV6";"Gas Channel6";"HV Channel6";"Dif_Id7";"Position7 Z";"Type7";"HV7";"Gas Channel7";"HV Channel7";"Dif_Id8";"Position8 Z";"Type8";"HV8";"Gas Channel8";"HV Channel8";"Dif_Id9";"Position9 Z";"Type9";"HV9";"Gas Channel9";"HV Channel9"
108;Fri  07 Oct 2016 13:12:43 +0200;"DAQ";"Data";"733638";"GIFPP_STRIP_11";"Not Set";;"Not Set";;;;;"Not Set";"CMS";"Ours";"3";"No";;;;;"Eight";"2";"150";"Unknown";"Not Set";;;"6";"180";"Unknown";"Not Set";;;"23";"200";"Unknown";"Not Set";;;"26";"200";"Unknown";"Not Set";;;"28";"200";"Unknown";"Not Set";;;;;;;;;;;;;;;;;;;;;;;;;;
109;Fri  07 Oct 2016 14:48:44 +0200;"DAQ";"Data";"733639";"GIFPP_STRIP_11";"Not Set";;"Not Set";;;;;"Not Set";"CMS";"Ours";"3";"No";;;;;"Eight";"2";"150";"Unknown";"Not Set";;;"6";"180";"Unknown";"Not Set";;;"23";"200";"Unknown";"Not Set";;;"26";"200";"Unknown";"Not Set";;;"28";"200";"Unknown";"Not Set";;;;;;;;;;;;;;;;;;;;;;;;;;
110;Fri  07 Oct 2016 14:50:07 +0200;"DAQ";"Data";"733640";"GIFPP_STRIP_11";"Not Set";;"Not Set";;;;;"Not Set";"CMS";"Ours";"3";"No";;;;;"Eight";"2";"150";"Unknown";"Not Set";;;"6";"180";"Unknown";"Not Set";;;"23";"200";"Unknown";"Not Set";;;"26";"200";"Unknown";"Not Set";;;"28";"200";"Unknown";"Not Set";;;;;;;;;;;;;;;;;;;;;;;;;;
111;Fri  07 Oct 2016 18:15:42 +0200;"DAQ";"Data";"733648";"GIFPP_STRIP_11";"Not Set";;"OFF";;;"122";"311";"ON";"CMS";"Ours";"3";"No";;;;;"Eight";"2";"0";"Unknown";"9500";;;"23";"160";"Unknown";"9500";;;"142";"180";"Unknown";"7000";;;"26";"200";"Unknown";"7000";;;"6";"200";"Unknown";"7000";;;;;;;;;;;;;;;;;;;;;;;;;;
112;Fri  07 Oct 2016 19:28:20 +0200;"DAQ";"Data";"733649";"GIFPP_STRIP_11";"Not Set";;"ON";;;"122";"311";"ON";"CMS";"Ours";"3";"No";;;;;"Eight";"2";"0";"Unknown";"9500";;;"23";"160";"Unknown";"9500";;;"142";"180";"Unknown";"7000";;;"26";"200";"Unknown";"7000";;;"6";"200";"Unknown";"7000";;;;;;;;;;;;;;;;;;;;;;;;;;
113;Fri  07 Oct 2016 20:02:25 +0200;"DAQ";"Data";"733651";"GIFPP_STRIP_11";"Not Set";;"ON";"150GeV";"Muons";"122";"311";"ON";"CMS";"Ours";"3";"No";;;;;"Eight";"2";"0";"Unknown";"9300";;;"23";"160";"Unknown";"9300";;;"142";"180";"Unknown";"6800";;;"26";"200";"Unknown";"6800";;;"6";"200";"Unknown";"7000";;;;;;"7000";;;;;;"7000";;;;;;"7000";;;;;;;;
114;Fri  07 Oct 2016 21:00:14 +0200;"DAQ";"Data";"733652";"GIFPP_STRIP_11";"Not Set";;"ON";"150GeV";"Muons";"121";"312";"ON";"CMS";"Ours";"3";"No";;;;;"Eight";"2";"0";"Unknown";"9300";;;"23";"160";"Unknown";"9300";;;"142";"180";"Unknown";"6800";;;"26";"200";"Unknown";"6800";;;"6";"200";"Unknown";"7000";;;;;;;;;;;;;;;;;;;;;;;;;;
115;Sat  08 Oct 2016 03:39:46 +0200;"DAQ";"Data";"733657";"GIFPP_STRIP_11";"Not Set";;"ON";"150GeV";"Muons";"333";"221";"ON";"CMS";"Ours";"3";"No";;;;;"Eight";"2";"0";"Unknown";"9300";;;"23";"160";"Unknown";"9300";;;"142";"180";"Unknown";"6800";;;"26";"200";"Unknown";"6800";;;"6";"200";"Unknown";"7000";;;;;;;;;;;;;;;;;;;;;;;;;;
116;Sat  08 Oct 2016 04:16:25 +0200;"DAQ";"Data";"733661";"GIFPP_STRIP_12";"Not Set";;"ON";"150GeV";"Muons";"333";"221";"ON";"CMS";"Ours";"3";"No";;;;;"Eight";"2";"0";"Unknown";"9300";;;"23";"160";"Unknown";"9300";;;"142";"180";"Unknown";"6800";;;"26";"200";"Unknown";"6800";;;"6";"200";"Unknown";"7000";;;;;;;;;;;;;;;;;;;;;;;;;;
117;Sat  08 Oct 2016 05:40:16 +0200;"DAQ";"Data";"733662";"GIFPP_STRIP_13";"Not Set";;"Not Set";"150GeV";"Muons";"333";"221";"ON";"CMS";"Ours";"3";"No";;;;;"Eight";"2";"0";"Unknown";"9300";;;"23";"160";"Unknown";"9300";;;"142";"180";"Unknown";"6800";;;"26";"200";"Unknown";"6800";;;"6";"200";"Unknown";"7000";;;;;;"7000";;;;;;"7000";;;;;;"7000";;;;;;;;
